datetime,pm25,pm10,o3,no2
331,2014-11-28,79.0,57.0,2.0,33.0
332,2014-11-29,123.0,49.0,1.0,34.0
333,2014-11-30,120.0,42.0,1.0,32.0
334,2014-12-01,96.0,41.0,1.0,34.0
335,2014-12-02,82.0,49.0,2.0,35.0
336,2014-12-03,113.0,54.0,13.666666666666666,36.0
337,2014-12-04,109.0,46.0,2.0,42.0
338,2014-12-05,97.0,50.0,10.0,51.0
339,2014-12-06,97.0,42.0,9.0,47.0
340,2014-12-07,91.0,37.0,9.0,55.0
341,2014-12-08,78.0,49.0,10.0,55.0
342,2014-12-09,85.0,31.0,20.0,45.0
343,2014-12-10,64.0,32.0,17.0,40.0
344,2014-12-11,54.0,23.0,20.0,41.0
345,2014-12-12,53.0,32.0,18.0,57.0
346,2014-12-13,82.0,49.0,5.0,51.0
347,2014-12-14,112.0,38.0,4.0,45.0
348,2014-12-15,92.0,45.0,11.0,51.0
349,2014-12-16,92.0,24.0,15.0,46.0
350,2014-12-17,67.0,26.0,18.0,44.0
351,2014-12-18,66.0,28.0,19.0,44.0
352,2014-12-19,65.0,32.0,19.0,51.0
353,2014-12-20,70.0,28.0,18.0,43.0
354,2014-12-21,67.0,29.0,23.0,39.0
355,2014-12-22,60.0,28.0,14.0,43.0
356,2014-12-23,69.0,34.0,18.0,37.0
357,2014-12-24,83.0,34.0,17.0,46.0
358,2014-12-25,78.0,40.0,17.0,50.0
359,2014-12-26,84.0,21.0,21.0,27.0
360,2014-12-27,58.0,37.0,15.0,31.0
361,2014-12-28,83.0,37.5,13.666666666666666,44.214285714285715
362,2014-12-29,80.25,37.5,13.666666666666666,44.214285714285715
363,2014-12-30,80.25,37.5,13.666666666666666,44.214285714285715
364,2014-12-31,80.25,71.0,17.0,52.0
365,2015-01-01,142.0,49.0,13.0,56.0
366,2015-01-02,105.0,28.0,16.0,38.0
367,2015-01-03,75.0,38.0,22.0,47.0
368,2015-01-04,93.0,49.0,3.0,51.0
369,2015-01-05,107.0,45.0,5.0,43.0
370,2015-01-06,100.0,43.0,7.0,44.0
371,2015-01-07,89.0,31.0,18.0,40.0
372,2015-01-08,71.0,31.0,17.0,38.0
373,2015-01-09,62.0,26.0,23.0,35.0
374,2015-01-10,53.0,29.0,24.0,36.0
375,2015-01-11,60.0,28.0,18.0,34.0
376,2015-01-12,59.0,26.0,22.0,33.0
377,2015-01-13,61.0,28.0,23.0,40.0
378,2015-01-14,58.0,27.0,22.0,35.0
379,2015-01-15,57.0,36.0,15.0,52.0
380,2015-01-16,67.0,40.0,12.0,37.0
381,2015-01-17,77.0,40.0,16.0,49.0
382,2015-01-18,80.0,47.0,14.0,52.0
383,2015-01-19,99.0,59.0,11.0,55.0
384,2015-01-20,131.0,49.0,11.0,45.0
385,2015-01-21,96.0,60.0,4.0,41.0
386,2015-01-22,136.0,61.0,9.0,40.0
387,2015-01-23,142.0,48.0,18.0,46.0
388,2015-01-24,98.0,54.0,19.0,55.0
389,2015-01-25,102.0,32.0,17.0,50.0
390,2015-01-26,74.0,50.0,13.0,63.0
391,2015-01-27,90.0,31.0,26.0,43.0
392,2015-01-28,60.0,25.0,31.0,48.0
393,2015-01-29,56.0,30.0,25.0,55.0
394,2015-01-30,71.0,27.0,22.0,49.0
395,2015-01-31,71.0,22.0,26.0,34.0
396,2015-02-01,55.0,40.0,24.0,56.0
397,2015-02-02,69.0,56.0,14.0,65.0
398,2015-02-03,94.0,49.0,16.0,47.0
399,2015-02-04,90.0,48.0,13.0,40.0
400,2015-02-05,86.0,52.0,9.0,38.0
401,2015-02-06,111.0,51.0,15.0,42.0
402,2015-02-07,118.0,44.0,21.0,37.0
403,2015-02-08,78.0,58.0,5.0,51.0
404,2015-02-09,110.0,45.0,17.0,39.0
405,2015-02-10,86.0,63.0,9.0,46.0
406,2015-02-11,105.0,83.0,4.0,64.0
407,2015-02-12,163.0,55.0,22.0,51.0
408,2015-02-13,112.0,28.0,18.0,47.0
